facility_id,facility_name,institution_id,institution_name,rr_rule,start_date,report_file_name,cron_expression,file_name,recurrence,local_start_at
15,Crown Senior Living of Indiana,14,,,,,,,,
64,The Legacy at Cimarron,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=MO;BYHOUR=06;BYMINUTE=09;COUNT=1,DTSTART:20230112T060900Z,Facility_Beacon_Status_list_report,,,,
64,The Legacy at Cimarron,32,LifeWell Senior Living,RRULE:FREQ=DAILY;UNTIL=20201128T235900Z;BYHOUR=00;BYMINUTE=10;COUNT=1,DTSTART:20201127T001000Z,Tempo_Worn_Report,,,,
64,The Legacy at Cimarron,32,LifeWell Senior Living,,,,0 30 9 * * ?,Resident_Dashboard.pdf,1.0,2021-12-17 12:21:10
64,The Legacy at Cimarron,32,LifeWell Senior Living,,,,0 4 17 * * ?,Html_job.pdf,1.0,2021-06-26 17:04:32
64,The Legacy at Cimarron,32,LifeWell Senior Living,,,,"0 30 9 ? * 2,5",population_summary.pdf,1.0,2020-08-04 13:57:46
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=WE;BYHOUR=07;BYMINUTE=00;COUNT=1,DTSTART:20220209T083600Z,Facility_Beacon_Status_list_report,,,,
66,The Legacy at South Plains,32,LifeWell Senior Living,,,,0 30 9 * * ?,population_summary.pdf,1.0,2022-06-30 13:02:29
66,The Legacy at South Plains,32,LifeWell Senior Living,,,,0 30 9 * * ?,Staff-Resident_Interaction.pdf,1.0,2020-04-29 15:47:49
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=DAILY;UNTIL=20210804T235900Z;BYHOUR=13;BYMINUTE=07;COUNT=1,DTSTART:20210803T130700Z,User_Details_report,,,,
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=DAILY;UNTIL=20210806T235900Z;BYHOUR=08;BYMINUTE=46;COUNT=1,DTSTART:20210805T084600Z,User_Details_report,,,,
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=TU;BYHOUR=07;BYMINUTE=00;COUNT=1,DTSTART:20220209T080800Z,Facility_Beacon_Status_list_report,,,,
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=WE;BYHOUR=07;BYMINUTE=00;COUNT=1,DTSTART:20220209T082400Z,Facility_Beacon_Status_list_report,,,,
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=DAILY;BYHOUR=05;BYMINUTE=21;COUNT=1,DTSTART:20220225T052100Z,Tempo_Worn_Report,,,,
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=DAILY;BYHOUR=05;BYMINUTE=53;COUNT=1,DTSTART:20220225T055300Z,Tempo_Worn_Report,,,,
66,The Legacy at South Plains,32,LifeWell Senior Living,RRULE:FREQ=DAILY;UNTIL=20220505T235900Z;BYHOUR=23;BYMINUTE=55;COUNT=1,DTSTART:20220504T235500Z,Tempo_Worn_Report,,,,
83,The Legacy at Santa Fe,32,LifeWell Senior Living,,,,,,,
83,The Legacy at Santa Fe,32,LifeWell Senior Living,RRULE:FREQ=DAILY;BYHOUR=09;BYMINUTE=10;COUNT=1,DTSTART:20210319T091000Z,Facility_unplanned_care_services_dashboard,,,,
83,The Legacy at Santa Fe,32,LifeWell Senior Living,RRULE:FREQ=MONTHLY;BYMONTHDAY=01;BYHOUR=00;BYMINUTE=00;COUNT=1,DTSTART:20230112T060400Z,Facility_Beacon_Status_list_report,,,,
83,The Legacy at Santa Fe,32,LifeWell Senior Living,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR;BYHOUR=06;BYMINUTE=08;COUNT=1",DTSTART:20230112T060800Z,Facility_Beacon_Status_list_report,,,,
83,The Legacy at Santa Fe,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=MO;BYHOUR=07;BYMINUTE=00;COUNT=1,DTSTART:20240513T072700Z,Facility_Beacon_Status_list_report,,,,
1010,The Legacy at Long Meadow,32,LifeWell Senior Living,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR;BYHOUR=07;BYMINUTE=06;COUNT=1",DTSTART:20230112T070600Z,Facility_Beacon_Status_list_report,,,,
1010,The Legacy at Long Meadow,32,LifeWell Senior Living,,,,,,,
1010,The Legacy at Long Meadow,32,LifeWell Senior Living,RRULE:FREQ=MONTHLY;BYMONTHDAY=01;BYHOUR=00;BYMINUTE=00;COUNT=1,DTSTART:20230112T070200Z,Facility_Beacon_Status_list_report,,,,
1010,The Legacy at Long Meadow,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=TH;BYHOUR=07;BYMINUTE=10;COUNT=1,DTSTART:20230112T071000Z,Facility_Beacon_Status_list_report,,,,
1030,All Seasons Pheasant Ridge,1013,All Seasons,,,,,,,
1045,Grand Village at Clear Creek,1019,Grand Retirement,,,,,,,
1046,The Legacy at Town Square,32,LifeWell Senior Living,RRULE:FREQ=DAILY;UNTIL=20230405T235900Z;BYHOUR=11;BYMINUTE=15;COUNT=1,DTSTART:20230331T111200Z,User_Details_report,,,,
1046,The Legacy at Town Square,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=MO;BYHOUR=08;BYMINUTE=00;COUNT=1,DTSTART:20230130T080000Z,Facility_Beacon_Status_list_report,,,,
1046,The Legacy at Town Square,32,LifeWell Senior Living,"RRULE:FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR;BYHOUR=07;BYMINUTE=01;COUNT=1",DTSTART:20230112T070100Z,Facility_Beacon_Status_list_report,,,,
1046,The Legacy at Town Square,32,LifeWell Senior Living,,,,"0 30 9 ? * 2,4,6",population_summary.pdf,1.0,2020-07-06 12:10:11
1046,The Legacy at Town Square,32,LifeWell Senior Living,,,,"0 30 9 ? * 3,6",population_summary.pdf,1.0,2021-01-28 17:18:29
1046,The Legacy at Town Square,32,LifeWell Senior Living,RRULE:FREQ=WEEKLY;BYDAY=TU;BYHOUR=09;BYMINUTE=45;COUNT=1,DTSTART:20211213T094500Z,Facility_Beacon_Status_list_report,,,,
1047,Superior Residences At Cala Hills,1020,,,,,,,,
1050,DS Innovation and Technology Center,1021,,,,,,,,
1056,Tradition Buffalo Speedway IL,1022,Tradition Senior Living,,,,,,,
1056,Tradition Buffalo Speedway IL,1022,Tradition Senior Living,RRULE:FREQ=DAILY;BYHOUR=13;BYMINUTE=30;COUNT=1,DTSTART:20220812T165900Z,Fall_report,,,,
